coq-aac-tactics	github.com/coq-community/aac-tactics
coq-abp	github.com/coq-contribs/abp
coq-actuary	github.com/Yosuke-Ito-345/Actuary
coq-addition-chains	github.com/coq-community/hydra-battles
coq-additions	github.com/coq-contribs/additions
coq-ails	github.com/coq-contribs/ails
coq-alea	github.com/coq-community/alea
coq-algebra	github.com/coq-contribs/algebra
coq-algorand	github.com/runtimeverification/algorand-verification
coq-almost-full	github.com/coq-community/almost-full
coq-amm11262	github.com/coq-contribs/amm11262
coq-angles	github.com/coq-contribs/angles
coq-antivalence	github.com/ivanbakel/coq-antivalence
coq-approx-models	gitlab.inria.fr/amahboub/approx-models
coq-area-method	github.com/coq-contribs/area-method
coq-async-test	github.com/liyishuai/coq-async-test
coq-atbr	github.com/coq-community/atbr
coq-automata	github.com/coq-contribs/automata
coq-autosubst	github.com/coq-community/autosubst
coq-autosubst-ocaml	github.com/uds-psl/autosubst-ocaml
coq-axiomatic-abp	github.com/coq-contribs/axiomatic-abp
coq-bbv	git@github.com/mit-plv/bbv
coq-bdds	github.com/coq-contribs/bdds
coq-bedrock2	github.com/mit-plv/bedrock2
coq-bedrock2-compiler	github.com/mit-plv/bedrock2
coq-belgames	github.com/pPomCo/belgames
coq-bellantonicook	github.com/davidnowak/bellantonicook
coq-bertrand	github.com/coq-community/bertrand
coq-bignums	github.com/coq-community/bignums
coq-bits	github.com/coq-community/bits
coq-bonsai	github.com/foobar-land/coq-bonsai
coq-buchberger	github.com/coq-community/buchberger
coq-bytestring	gitlab.com/bedrockpublic/coq-bytestring
coq-canon-bdds	github.com/coq-contribs/canon-bdds
coq-cantor	github.com/coq-contribs/cantor
coq-category-theory	github.com/jwiegley/category-theory
coq-cats-in-zfc	github.com/coq-contribs/cats-in-zfc
coq-ccs	github.com/coq-contribs/ccs
coq-cds4ltl	github.com/jwiegley/coq-cds4ltl
coq-cecoa	github.com/davidnowak/cecoa
coq-ceramist	github.com/certichain/ceramist
coq-ceres	github.com/Lysxia/coq-ceres
coq-certicoq	github.com/CertiCoq/certicoq
coq-cfgv	github.com/coq-contribs/cfgv
coq-cfml	gitlab.inria.fr/charguer/cfml2
coq-cfml-basis	gitlab.inria.fr/charguer/cfml2
coq-cfml-stdlib	gitlab.inria.fr/charguer/cfml2
coq-chapar	github.com/coq-community/chapar
coq-charge-core	github.com/jesper-bengtson/ChargeCore
coq-checker	github.com/coq-contribs/checker
coq-chick-blog	github.com/clarus/coq-chick-blog
coq-chinese	github.com/coq-contribs/chinese
coq-circuits	github.com/coq-contribs/circuits
coq-classical-realizability	github.com/coq-contribs/classical-realizability
coq-coalgebras	github.com/coq-contribs/coalgebras
coq-coinduction	github.com/damien-pous/coinduction
coq-coinduction-examples	github.com/damien-pous/coinduction-examples
coq-coinductive-examples	github.com/coq-contribs/coinductive-examples
coq-coinductive-reals	github.com/coq-contribs/coinductive-reals
coq-commutative-diagrams	github.com/dwarfmaster/commutative-diagrams
coq-comp-dec-modal	github.com/coq-community/comp-dec-modal
coq-compcert	github.com/AbsInt/CompCert
coq-compcert-64	github.com/AbsInt/CompCert
coq-concat	github.com/coq-contribs/concat
coq-concurrency-pluto	github.com/coq-concurrency/pluto
coq-concurrency-proxy	github.com/coq-concurrency/proxy
coq-concurrency-system	github.com/coq-concurrency/system
coq-constructive-geometry	github.com/coq-contribs/constructive-geometry
coq-constructors	github.com/mattam82/Constructors
coq-containers	github.com/coq-contribs/containers
coq-continuations	github.com/coq-contribs/continuations
coq-coq-in-coq	github.com/coq-contribs/coq-in-coq
coq-coq2html	github.com/xavierleroy/coq2html
coq-coqeal	github.com/coq-community/coqeal
coq-coqeal-refinements	github.com/coq-community/coqeal
coq-coqeal-theory	github.com/coq-community/coqeal
coq-coqffi	github.com/coq-community/coqffi
coq-coqoban	github.com/coq-community/coqoban
coq-coqprime	github.com/thery/coqprime
coq-coqprime-generator	github.com/thery/coqprime
coq-coqrel	github.com/CertiKOS/coqrel
coq-coqtail	github.com/coq-community/coqtail-math
coq-coquelicot	gitlab.inria.fr/coquelicot/coquelicot
coq-coqutil	github.com/mit-plv/coqutil
coq-corn	github.com/coq-community/corn
coq-counting	github.com/coq-contribs/counting
coq-cours-de-coq	github.com/coq-contribs/cours-de-coq
coq-ctltctl	github.com/coq-contribs/ctltctl
coq-cunit	github.com/clarus/coq-cunit
coq-cybele	github.com/clarus/cybele
coq-dblib	github.com/coq-contribs/dblib
coq-demos	github.com/coq-contribs/demos
coq-dep-map	github.com/coq-contribs/dep-map
coq-deriving	github.com/arthuraa/deriving
